Comparison Log - 04/03/2026 18:14:12
***MATCH*** The file 'L896496.txt.txt.162856402' MATCHES.
***MATCH*** The file 'L896521.txt.txt.162911402' MATCHES.
***MATCH*** The file 'L896693.txt.txt.152806402' MATCHES.
***MISMATCH*** The file 'L896707.txt.txt.132826402' DOES NOT MATCH.
***MATCH*** The file 'L896781.txt.txt.162816402' MATCHES.
***MATCH*** The file 'L896945.txt.txt.162812402' MATCHES.
***MATCH*** The file 'L896989.txt.txt.151435402' MATCHES.
***MATCH*** The file 'L916035.txt.txt.080050402' MATCHES.
***MATCH*** The file 'L916047.csv.txt.080019402' MATCHES.
***MATCH*** The file 'L916048.txt.txt.082120402' MATCHES.
***MATCH*** The file 'L917134.csv.txt.105300402' MATCHES.
***MATCH*** The file 'L918377.csv.txt.110430402' MATCHES.
***MATCH*** The file 'L919355.csv.txt.095125402' MATCHES.
***MISMATCH*** The file 'L919519.txt.txt.112835402' DOES NOT MATCH.
***MATCH*** The file 'L919536.csv.txt.114435402' MATCHES.
***MATCH*** The file 'L9195362.csv.txt.114440402' MATCHES.
***MATCH*** The file 'L919767.csv.txt.095455402' MATCHES.
***MATCH*** The file 'L919772.txt.txt.094250402' MATCHES.
***MISMATCH*** The file 'L919789.txt.txt.140455402' DOES NOT MATCH.
***MATCH*** The file 'L919791.txt.txt.094150402' MATCHES.
***MATCH*** The file 'L919798.csv.txt.103755402' MATCHES.
***MATCH*** The file 'L919828.csv.txt.105125402' MATCHES.
***MATCH*** The file 'L919851.csv.txt.093120402' MATCHES.
***MISMATCH*** The file 'L919860.txt.txt.140655402' DOES NOT MATCH.
***MATCH*** The file 'L919883.csv.txt.115705402' MATCHES.
***MATCH*** The file 'L919887.csv.txt.115705402' MATCHES.
***MATCH*** The file 'L919896.csv.txt.141255402' MATCHES.
***MATCH*** The file 'L919898.csv.txt.115706402' MATCHES.
***MATCH*** The file 'L919917.csv.txt.115705402' MATCHES.
***MISSING*** The file 'LB896866_04022026.zip.163056402' has no match in Directory B.
***MISMATCH*** The file 'LBATL116296R.txt.txt.162946402' DOES NOT MATCH.
***MISSING*** The file 'LBX0255.txt.txt.123935402' has no match in Directory B.
***MATCH*** The file 'LBX918292_840.txt.txt.094320402' MATCHES.
***MATCH*** The file 'LBX918292_850.txt.txt.094320402' MATCHES.
***MISSING*** The file 'lbxedi0130.txt.123610402' has no match in Directory B.
***MISMATCH*** The file 'LBXEDI6847.txt.162901402' DOES NOT MATCH.
***MATCH*** The file 'LJBS.txt.txt.162841402' MATCHES.
***MATCH*** The file 'LKBX00003124.txt.txt.131655402' MATCHES.
***MISSING*** The file 'LKBX0036.txt.txt.085955402' has no match in Directory B.
***MISSING*** The file 'LKBX0092.txt.txt.123540402' has no match in Directory B.
***MISSING*** The file 'LKBX0100.csv.txt.143450402' has no match in Directory B.
***MISSING*** The file 'LKBX0101.csv.txt.143450402' has no match in Directory B.
***MISSING*** The file 'LKBX0162.txt.txt.123815402' has no match in Directory B.
***MISSING*** The file 'LKBX0184.txt.txt.114245402' has no match in Directory B.
***MISSING*** The file 'LKBX0185.txt.txt.114250402' has no match in Directory B.
***MISSING*** The file 'LKBX0186.txt.txt.123900402' has no match in Directory B.
***MISSING*** The file 'LKBX0200.txt.txt.125750402' has no match in Directory B.
***MISSING*** The file 'LKBX0214.txt.txt.114255402' has no match in Directory B.
***MISSING*** The file 'LKBX0215.txt.txt.090015402' has no match in Directory B.
***MISSING*** The file 'LKBX0224.txt.txt.143550402' has no match in Directory B.
***MISSING*** The file 'LKBX0227.txt.txt.123935402' has no match in Directory B.
***MISSING*** The file 'LKBX0228.txt.txt.143550402' has no match in Directory B.
***MISSING*** The file 'LKBX0233.txt.txt.143600402' has no match in Directory B.
***MISSING*** The file 'LKBX0235.txt.txt.143610402' has no match in Directory B.
***MISSING*** The file 'LKBX0237.txt.txt.114305402' has no match in Directory B.
***MISSING*** The file 'LKBX0238.txt.txt.143630402' has no match in Directory B.
***MISSING*** The file 'LKBX0240.txt.txt.143630402' has no match in Directory B.
***MISSING*** The file 'LKBX0241.txt.txt.114310402' has no match in Directory B.
***MISSING*** The file 'LKBX0243.txt.txt.143635402' has no match in Directory B.
***MISSING*** The file 'LKBX0245.txt.txt.155906402' has no match in Directory B.
***MISSING*** The file 'LKBX0246.txt.txt.123935402' has no match in Directory B.
***MISSING*** The file 'LKBX0247.csv.txt.143640402' has no match in Directory B.
***MISSING*** The file 'LKBX0248.csv.txt.152946402' has no match in Directory B.
***MISSING*** The file 'lkbx0249.txt.txt.143650402' has no match in Directory B.
***MISSING*** The file 'LKBX0387.txt.txt.100015402' has no match in Directory B.
***MISSING*** The file 'LKBX2519.txt.txt.071639402' has no match in Directory B.
***MISSING*** The file 'LKBX2723.txt.txt.142406402' has no match in Directory B.
***MATCH*** The file 'LKBX745091.txt.txt.142830402' MATCHES.
***MATCH*** The file 'LKBX745147.txt.txt.142825402' MATCHES.
***MATCH*** The file 'LKBX8239.txt.txt.130815402' MATCHES.
***MISSING*** The file 'LKBX8241.txt.txt.124435402' has no match in Directory B.
***MATCH*** The file 'LKBX8246.txt.txt.130815402' MATCHES.
***MATCH*** The file 'LKBX8252.txt.txt.130845402' MATCHES.
***MATCH*** The file 'LKBX8253.txt.txt.130845402' MATCHES.
***MATCH*** The file 'LKBX8263.txt.txt.122811402' MATCHES.
***MATCH*** The file 'LKBX8268.txt.txt.130841402' MATCHES.
***MATCH*** The file 'LKBX8275.txt.txt.130615402' MATCHES.
***MATCH*** The file 'LKBX8276.txt.txt.130621402' MATCHES.
***MATCH*** The file 'LKBX8278.csv.txt.130645402' MATCHES.
***MATCH*** The file 'LKBX8380.txt.txt.130740402' MATCHES.
***MATCH*** The file 'LKBX8381.txt.txt.130851402' MATCHES.
***MISSING*** The file 'LKBX8382.txt.txt.142000402' has no match in Directory B.
***MATCH*** The file 'LPPC.txt.txt.162841402' MATCHES.
***MISMATCH*** The file 'PLB2.MLRUN1A.UPLOAD.DATA.TXT.155151402' DOES NOT MATCH.
***MISMATCH*** The file 'PLB2.S2DWRK.LBX.AMERHEAL.PREMGR.txt.182832402' DOES NOT MATCH.
***MATCH*** The file 'PLB2.S2DWRK.LBX.ECCINTL.PREMGR.txt.162921402' MATCHES.
***MISMATCH*** The file 'PLB2.S2DWRK.LBX.ESM.PREMGR.txt.175821402' DOES NOT MATCH.
***MISMATCH*** The file 'PLB2.S2DWRK.LBX.ESMW.PREMGR.txt.174321402' DOES NOT MATCH.
***MISMATCH*** The file 'PLB2.S2DWRK.LBX.GAMARBLE.PREMGR.txt.181321402' DOES NOT MATCH.
***MISMATCH*** The file 'PLB2.S2DWRK.LBX.IDEAL.PREMGR.txt.175826402' DOES NOT MATCH.
***MISMATCH*** The file 'PLB2.S2DWRK.LBX.KENTENCL.PREMGR.txt.162926402' DOES NOT MATCH.
***MISMATCH*** The file 'PLB2.S2DWRK.LBX.KERNEOSI.PREMGR.txt.162841402' DOES NOT MATCH.
***MISMATCH*** The file 'PLB2.S2DWRK.LBX.LINTECH.PREMGR.txt.172821402' DOES NOT MATCH.
***MISMATCH*** The file 'PLB2.S2DWRK.LBX.PENNRESO.PREMGR.txt.182836402' DOES NOT MATCH.
***MISMATCH*** The file 'PLB2.S2DWRK.LBX.ROCKTENN.PREMGR.txt.155816402' DOES NOT MATCH.
***MISMATCH*** The file 'PLB2.XMIT.UPLOAD.L1023120.PREMGR.txt.155841402' DOES NOT MATCH.
***MISMATCH*** The file 'PLB2.XMIT.UPLOAD.L1174900.PREMGR.txt.182821402' DOES NOT MATCH.
***MISMATCH*** The file 'PLB2.XMIT.UPLOAD.LBAACAPD.DATA.120916402' DOES NOT MATCH.
***MISMATCH*** The file 'PLB2.XMIT.UPLOAD.LBABAAR.DATA.txt.131455402' DOES NOT MATCH.
***MISMATCH*** The file 'PLB2.XMIT.UPLOAD.LBAFTW.DATA.txt.131221402' DOES NOT MATCH.
***MISMATCH*** The file 'PLB2.XMIT.UPLOAD.LBALREDE.DATA.txt.130945402' DOES NOT MATCH.
***MISMATCH*** The file 'PLB2.XMIT.UPLOAD.LBALXARE.DATA.PREMGR.txt.130945402' DOES NOT MATCH.
***MISMATCH*** The file 'PLB2.XMIT.UPLOAD.LBALXARE.DATA.PREMGR.txt.162811402' DOES NOT MATCH.
***MISMATCH*** The file 'PLB2.XMIT.UPLOAD.LBALXRER.DATA.txt.130945402' DOES NOT MATCH.
***MISMATCH*** The file 'PLB2.XMIT.UPLOAD.LBASAE.DATA.txt.131321402' DOES NOT MATCH.
***MISMATCH*** The file 'PLB2.XMIT.UPLOAD.LBASHA3.DATA.TXT.134635402' DOES NOT MATCH.
***MISMATCH*** The file 'PLB2.XMIT.UPLOAD.LBAUTOZ2.DATA.TXT.141535402' DOES NOT MATCH.
***MISMATCH*** The file 'PLB2.XMIT.UPLOAD.LBBANKT.DATA.txt.151045402' DOES NOT MATCH.
***MISMATCH*** The file 'PLB2.XMIT.UPLOAD.LBBANKT1.DATA.txt.151110402' DOES NOT MATCH.
***MISMATCH*** The file 'PLB2.XMIT.UPLOAD.LBBANKT2.DATA.txt.154441402' DOES NOT MATCH.
***MISMATCH*** The file 'PLB2.XMIT.UPLOAD.LBCHEHOS.DATA.TXT.134925402' DOES NOT MATCH.
***MISMATCH*** The file 'PLB2.XMIT.UPLOAD.LBCHRHED.DATA.txt.131550402' DOES NOT MATCH.
***MISMATCH*** The file 'PLB2.XMIT.UPLOAD.LBCOABL2.DATA.txt.131050402' DOES NOT MATCH.
***MISMATCH*** The file 'PLB2.XMIT.UPLOAD.LBCOATT.DATA.120916402' DOES NOT MATCH.
***MISMATCH*** The file 'PLB2.XMIT.UPLOAD.LBCOGCR.DATA.TXT.134720402' DOES NOT MATCH.
***MISMATCH*** The file 'PLB2.XMIT.UPLOAD.LBCRMC.DATA.txt.135120402' DOES NOT MATCH.
***MISMATCH*** The file 'PLB2.XMIT.UPLOAD.LBCSBS.DATA.txt.131556402' DOES NOT MATCH.
***MISMATCH*** The file 'PLB2.XMIT.UPLOAD.LBCWACOP.DATA.txt.131455402' DOES NOT MATCH.
***MISMATCH*** The file 'PLB2.XMIT.UPLOAD.LBCWOADE.DATA.txt.131455402' DOES NOT MATCH.
***MISMATCH*** The file 'PLB2.XMIT.UPLOAD.LBCWPW.DATA.txt.131221402' DOES NOT MATCH.
***MISMATCH*** The file 'PLB2.XMIT.UPLOAD.LBDODSON.DATA.TXT.124715402' DOES NOT MATCH.
***MISMATCH*** The file 'PLB2.XMIT.UPLOAD.LBFRA.DATA.TXT.134800402' DOES NOT MATCH.
***MISMATCH*** The file 'PLB2.XMIT.UPLOAD.LBHRWDE.DATA.txt.131525402' DOES NOT MATCH.
***MISMATCH*** The file 'PLB2.XMIT.UPLOAD.LBIANADE.DATA.txt.131225402' DOES NOT MATCH.
***MISMATCH*** The file 'PLB2.XMIT.UPLOAD.LBICMADU.DATA.txt.131045402' DOES NOT MATCH.
***MISMATCH*** The file 'PLB2.XMIT.UPLOAD.LBJWVETS.DATA.txt.131555402' DOES NOT MATCH.
***MISMATCH*** The file 'PLB2.XMIT.UPLOAD.LBLIFEDE.DATA.txt.131525402' DOES NOT MATCH.
***MISMATCH*** The file 'PLB2.XMIT.UPLOAD.LBMAILH.DATA.TXT.125205402' DOES NOT MATCH.
***MISMATCH*** The file 'PLB2.XMIT.UPLOAD.LBMARKIN.DATA.TXT.125825402' DOES NOT MATCH.
***MISMATCH*** The file 'PLB2.XMIT.UPLOAD.LBMARKIR.DATA.TXT.135230402' DOES NOT MATCH.
***MISMATCH*** The file 'PLB2.XMIT.UPLOAD.LBNADA.DATA.TXT.125125402' DOES NOT MATCH.
***MISMATCH*** The file 'PLB2.XMIT.UPLOAD.LBNASWDE.DATA.120916402' DOES NOT MATCH.
***MISMATCH*** The file 'PLB2.XMIT.UPLOAD.LBNMCR1.DATA.120916402' DOES NOT MATCH.
***MISMATCH*** The file 'PLB2.XMIT.UPLOAD.LBNMCR2.DATA.120916402' DOES NOT MATCH.
***MISMATCH*** The file 'PLB2.XMIT.UPLOAD.LBNPRDE.DATA.txt.130915402' DOES NOT MATCH.
***MISMATCH*** The file 'PLB2.XMIT.UPLOAD.LBOLAKER.PREMGR.TXT.141625402' DOES NOT MATCH.
***MISMATCH*** The file 'PLB2.XMIT.UPLOAD.LBPMMIDE.DATA.txt.131556402' DOES NOT MATCH.
***MISMATCH*** The file 'PLB2.XMIT.UPLOAD.LBRESTON.DATA.txt.131250402' DOES NOT MATCH.
***MISMATCH*** The file 'PLB2.XMIT.UPLOAD.LBRRHAR.DATA.TXT.125915402' DOES NOT MATCH.
***MISMATCH*** The file 'PLB2.XMIT.UPLOAD.LBSSTR.DATA.TXT.140030402' DOES NOT MATCH.
***MISMATCH*** The file 'PLB2.XMIT.UPLOAD.LBTODUPR.DATA.TXT.125035402' DOES NOT MATCH.
***MISMATCH*** The file 'PLB2.XMIT.UPLOAD.LBUAIDE.PREMGR.txt.130426402' DOES NOT MATCH.
***MISMATCH*** The file 'PLB2.XMIT.UPLOAD.LBUPRM.DATA.TXT.125740402' DOES NOT MATCH.
***MISMATCH*** The file 'PLB2.XMIT.UPLOAD.LBVADPOR.DATA.TXT.134030402' DOES NOT MATCH.
***MISMATCH*** The file 'PLB2.XMIT.UPLOAD.LBVAHOUS.DATA.TXT.134535402' DOES NOT MATCH.
***MISMATCH*** The file 'PLB2.XMIT.UPLOAD.LBVBRNDE.DATA.txt.131556402' DOES NOT MATCH.
***MISMATCH*** The file 'PLB2.XMIT.UPLOAD.LBWVWAR.DATA.TXT.134410402' DOES NOT MATCH.
***MISMATCH*** The file 'PSE1.S1DWRK.LBX.CATHCEM.txt.085420402' DOES NOT MATCH.
***MATCH*** The file 'PSE1.S1DWRK.LBX.PEP.txt.094255402' MATCHES.
***MATCH*** The file 'PSE2.S2DWRK.1020780.txt.txt.125930402' MATCHES.
***MISMATCH*** The file 'PSE2.S2DWRK.1021410.txt.txt.142840402' DOES NOT MATCH.
***MISMATCH*** The file 'PSE2.S2DWRK.1025680.txt.txt.130021402' DOES NOT MATCH.
***MATCH*** The file 'PSE2.S2DWRK.1025680A.txt.txt.131321402' MATCHES.
***MISMATCH*** The file 'PSE2.S2DWRK.1026930.txt.txt.130445402' DOES NOT MATCH.
***MATCH*** The file 'PSE2.S2DWRK.1029270.txt.txt.130005402' MATCHES.
***MATCH*** The file 'PSE2.S2DWRK.1029270I.txt.txt.131225402' MATCHES.
***MISMATCH*** The file 'PSE2.S2DWRK.1166850.txt.txt.130105402' DOES NOT MATCH.
***MISMATCH*** The file 'PSE2.S2DWRK.1171070.txt.txt.130620402' DOES NOT MATCH.
***MISMATCH*** The file 'PSE2.S2DWRK.1171750.txt.txt.130815402' DOES NOT MATCH.
***MISMATCH*** The file 'PSE2.S2DWRK.1171760.txt.txt.130915402' DOES NOT MATCH.
***MISMATCH*** The file 'PSE2.S2DWRK.1173320.txt.txt.131420402' DOES NOT MATCH.
***MISMATCH*** The file 'PSE2.S2DWRK.AJCLOGIS.PREMGR.txt.182822402' DOES NOT MATCH.
***MISMATCH*** The file 'PSE2.S2DWRK.CFGIHOLD.PREMGR.txt.131250402' DOES NOT MATCH.
***MISMATCH*** The file 'PSE2.S2DWRK.LBX.AUTO2.txt.172831402' DOES NOT MATCH.
***MISMATCH*** The file 'PSE2.S2DWRK.LBX.BRECLERK.txt.113205402' DOES NOT MATCH.
***MISMATCH*** The file 'PSE2.S2DWRK.LBX.CHAPTER.txt.182836402' DOES NOT MATCH.
